Name,Requirements/Planning: (codeSpecs) relationship between the input and outputs,"Program Design: if the current user has control of what the program implementaion is (e.g., recursive vs not) then it program design",Implementation: executing the program plan,Testing/Vertification,AND,OR,NOTES
,,,,,,,
,,,,,,,
0ukelcEjyA.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1dK9nA1VpA.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"comprehension, exam question about why a program had a specific error"
2csTeIEEHO.txt,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,
0adN1R9gJN.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
0dVc2vyRlt.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
0vaAICqxUi.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
2I1pDSUuKI.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,exam question
4RgDwDpNx3.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
5j2cO1KbpN.txt,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,
5KkgnHmjyy.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,comprehension
5oGw35pB7D.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
6SdCx2rR9F.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
6T6Vt0vKUq.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,x
9xAV0vn4CG.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,x
9PEjQqy5db.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,x
96NG6VfuP2.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,x
96QshjMJEe.txt,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,
451n3l6h9l.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
bvlCGvOCnt.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
CGatxtFBB7.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,x
CjFjRKVB8q.txt,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,
aQ1EhH8Ckb.txt,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,
DRskphqiwF.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
eDhoLUjtdd.txt,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,
eKKIb45OQb.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
eqPEtn9Qae.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
ExyaCTPzwB.txt,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,
bUsO4vo2zB.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,x
FspyrMTF4O.txt,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,
ghNL5F4Bna.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Comprehend error
Cc0mS3ewCT.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,x
gmad0dh86z.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,x
