code,outcome,count
"Attitude, tone, or mood > expressNegativity > beingLost",F,159
"Attitude, tone, or mood > expressNegativity > beingLost",S,91
"Attitude, tone, or mood > expressNegativity > frustration",F,125
"Attitude, tone, or mood > expressNegativity > frustration",S,39
"Attitude, tone, or mood > expressNegativity > selfTalk",F,31
"Attitude, tone, or mood > expressNegativity > selfTalk",S,38
"Attitude, tone, or mood > expressPositivity > apology",F,34
"Attitude, tone, or mood > expressPositivity > apology",S,49
"Attitude, tone, or mood > expressPositivity > beingWrong",F,14
"Attitude, tone, or mood > expressPositivity > beingWrong",S,45
"Attitude, tone, or mood > expressPositivity > expressSatisfactionOrGratitude",F,82
"Attitude, tone, or mood > expressPositivity > expressSatisfactionOrGratitude",S,307
"Attitude, tone, or mood > expressPositivity > expressSupportingWords",F,110
"Attitude, tone, or mood > expressPositivity > expressSupportingWords",S,257
"Attitude, tone, or mood > expressPositivity > greeting",F,399
"Attitude, tone, or mood > expressPositivity > greeting",S,378
"Attitude, tone, or mood > expressTeachingPhilosophy",F,19
"Attitude, tone, or mood > expressTeachingPhilosophy",S,20
Big picture of an interaction > request > bugFix,F,63
Big picture of an interaction > request > bugFix,S,88
Big picture of an interaction > request > codeComprehension,F,13
Big picture of an interaction > request > codeComprehension,S,31
Big picture of an interaction > request > codeImprove,F,8
Big picture of an interaction > request > codeImprove,S,9
Big picture of an interaction > request > codeWrite,F,64
Big picture of an interaction > request > codeWrite,S,88
Big picture of an interaction > resolveRequest,F,147
Big picture of an interaction > resolveRequest,S,214
Big picture of an interaction > resolveRequest > failure,F,0
Big picture of an interaction > resolveRequest > failure,S,0
Big picture of an interaction > resolveRequest > success,F,0
Big picture of an interaction > resolveRequest > success,S,0
"Helping > (explain, phrasedAsCertain, bug, detailed)",F,48
"Helping > (explain, phrasedAsCertain, bug, detailed)",S,68
"Helping > (explain, phrasedAsCertain, bug, unknown)",F,4
"Helping > (explain, phrasedAsCertain, bug, unknown)",S,1
"Helping > (explain, phrasedAsCertain, bug, vague)",F,31
"Helping > (explain, phrasedAsCertain, bug, vague)",S,33
"Helping > (explain, phrasedAsCertain, codeOpinion, detailed)",F,0
"Helping > (explain, phrasedAsCertain, codeOpinion, detailed)",S,5
"Helping > (explain, phrasedAsCertain, codeOpinion, unknown)",F,0
"Helping > (explain, phrasedAsCertain, codeOpinion, unknown)",S,0
"Helping > (explain, phrasedAsCertain, codeOpinion, vague)",F,0
"Helping > (explain, phrasedAsCertain, codeOpinion, vague)",S,6
"Helping > (explain, phrasedAsCertain, codeSpecifications, detailed)",F,36
"Helping > (explain, phrasedAsCertain, codeSpecifications, detailed)",S,59
"Helping > (explain, phrasedAsCertain, codeSpecifications, unknown)",F,3
"Helping > (explain, phrasedAsCertain, codeSpecifications, unknown)",S,2
"Helping > (explain, phrasedAsCertain, codeSpecifications, vague)",F,15
"Helping > (explain, phrasedAsCertain, codeSpecifications, vague)",S,28
"Helping > (explain, phrasedAsCertain, codingConcept, detailed)",F,22
"Helping > (explain, phrasedAsCertain, codingConcept, detailed)",S,89
"Helping > (explain, phrasedAsCertain, codingConcept, unknown)",F,4
"Helping > (explain, phrasedAsCertain, codingConcept, unknown)",S,4
"Helping > (explain, phrasedAsCertain, codingConcept, vague)",F,6
"Helping > (explain, phrasedAsCertain, codingConcept, vague)",S,21
"Helping > (explain, phrasedAsCertain, codingExperience, detailed)",F,2
"Helping > (explain, phrasedAsCertain, codingExperience, detailed)",S,0
"Helping > (explain, phrasedAsCertain, codingExperience, unknown)",F,0
"Helping > (explain, phrasedAsCertain, codingExperience, unknown)",S,0
"Helping > (explain, phrasedAsCertain, codingExperience, vague)",F,3
"Helping > (explain, phrasedAsCertain, codingExperience, vague)",S,1
"Helping > (explain, phrasedAsCertain, developmentStrategy, detailed)",F,5
"Helping > (explain, phrasedAsCertain, developmentStrategy, detailed)",S,3
"Helping > (explain, phrasedAsCertain, developmentStrategy, unknown)",F,1
"Helping > (explain, phrasedAsCertain, developmentStrategy, unknown)",S,0
"Helping > (explain, phrasedAsCertain, developmentStrategy, vague)",F,3
"Helping > (explain, phrasedAsCertain, developmentStrategy, vague)",S,4
"Helping > (explain, phrasedAsCertain, errorLocation, detailed)",F,0
"Helping > (explain, phrasedAsCertain, errorLocation, detailed)",S,2
"Helping > (explain, phrasedAsCertain, errorLocation, unknown)",F,0
"Helping > (explain, phrasedAsCertain, errorLocation, unknown)",S,0
"Helping > (explain, phrasedAsCertain, errorLocation, vague)",F,0
"Helping > (explain, phrasedAsCertain, errorLocation, vague)",S,0
"Helping > (explain, phrasedAsCertain, errorMsg, detailed)",F,0
"Helping > (explain, phrasedAsCertain, errorMsg, detailed)",S,4
