PV,Document Number,Document Name,Due Date:,Annotator_0,Annotator_1,Annotator_2,Number of Requests,IRR (avg)
2,7,0adN1R9gJN.txt,3/14,TRUE,TRUE,TRUE,1,0.87
2,12,5j2cO1KbpN.txt,3/18,TRUE,TRUE,TRUE,4,0.89
2,9,0vaAICqxUi.txt,3/20,TRUE,TRUE,TRUE,1,0.82
2,11,4RgDwDpNx3.txt,3/20,TRUE,TRUE,TRUE,1,0.91
2,8,0dVc2vyRlt.txt,3/27,TRUE,TRUE,TRUE,1,0.64
2,10,2I1pDSUuKI.txt,3/27,TRUE,TRUE,TRUE,1,0.54
2,14,5oGw35pB7D.txt,3/27,TRUE,TRUE,TRUE,1,0.66
2,16,6SdCx2rR9F.txt,3/27,TRUE,TRUE,TRUE,1,0.68
2,17,6T6Vt0vKUq.txt,3/27,TRUE,TRUE,TRUE,1,0.48
2,13,5KkgnHmjyy.txt,3/27,TRUE,TRUE,TRUE,2,0.61
2,18,9xAV0vn4CG.txt,3/27,TRUE,TRUE,TRUE,3,0.53
2,20,96NG6VfuP2.txt,3/27,TRUE,TRUE,TRUE,1,0.61
2,21,96QshjMJEe.txt,3/27,TRUE,TRUE,TRUE,1,0.65
2,22,451n3l6h9l.txt,3/27,TRUE,TRUE,TRUE,1,0.55
2,25,bvlCGvOCnt.txt,3/27,TRUE,TRUE,TRUE,1,0.65
2,26,CGatxtFBB7.txt,3/27,TRUE,TRUE,TRUE,1,0.65
2,27,CjFjRKVB8q.txt,3/27,TRUE,TRUE,TRUE,1,0.61
2,32,DRskphqiwF.txt,3/27,TRUE,TRUE,TRUE,1,0.67
2,33,eDhoLUjtdd.txt,3/27,TRUE,TRUE,TRUE,1,0.56
2,52,LQtcp09Poj.txt,4/3,TRUE,TRUE,TRUE,1,0.65
2,34,eKKIb45OQb.txt,4/3,TRUE,TRUE,TRUE,1,0.6
2,35,eqPEtn9Qae.txt,4/3,TRUE,TRUE,TRUE,1,0.58
2,36,ExyaCTPzwB.txt,4/3,TRUE,TRUE,TRUE,1,0.58
2,38,FspyrMTF4O.txt,4/3,TRUE,TRUE,TRUE,1,0.68
2,39,ghNL5F4Bna.txt,4/3,TRUE,TRUE,TRUE,2,0.56
2,42,hOl1wgs6dP.txt,4/3,TRUE,TRUE,TRUE,1,0.63
2,53,mEEt27El2H.txt,4/3,TRUE,TRUE,TRUE,1,0.67
2,44,IcTPznP9pK.txt,4/3,TRUE,TRUE,TRUE,1,0.61
2,45,idguEatSf4.txt,4/3,TRUE,TRUE,TRUE,1,0.62
2,47,KrgaUnySs9.txt,4/3,TRUE,TRUE,TRUE,1,0.64
2,48,l6L1Q9LPE6.txt,4/3,TRUE,TRUE,TRUE,1,0.61
2,49,l79lh5FKHH.txt,4/3,TRUE,TRUE,TRUE,2,0.61
2,55,mLsc5Qhd2T.txt,4/3,TRUE,TRUE,TRUE,1,0.67
2,57,nFzesfr8LM.txt,4/3,TRUE,TRUE,TRUE,1,0.61
2,60,odmTAdIGmb.txt,4/10,TRUE,TRUE,TRUE,1,0.63
2,63,OwGP2V9HqO.txt,4/10,TRUE,TRUE,TRUE,1,0.66
2,64,P0bldfytH1.txt,4/10,TRUE,TRUE,TRUE,2,0.66
2,66,ps3U3c46CV.txt,4/10,TRUE,TRUE,TRUE,1,0.67
2,67,QqCKExBKmp.txt,4/10,TRUE,TRUE,TRUE,1,0.67
2,70,Rsmx9wV262.txt,4/10,TRUE,TRUE,TRUE,1,0.62
2,72,t8RBsvLrqA.txt,4/10,TRUE,TRUE,TRUE,1,0.48
2,74,VUhFKwTpRT.txt,4/10,TRUE,TRUE,TRUE,1,0.65
2,76,xD5ImRiNni.txt,4/10,TRUE,TRUE,TRUE,2,0.66
2,77,xpjEbgF59H.txt,4/10,TRUE,TRUE,TRUE,2,0.65
2,78,yaIRqVmIv3.txt,4/10,TRUE,TRUE,TRUE,1,0.71
2,79,yJnek12lvC.txt,4/10,TRUE,TRUE,TRUE,1,0.71
3,7,0jVhiUnO00.txt,4/10,TRUE,TRUE,TRUE,1,0.71
3,9,3aI7QCdMmp.txt,4/10,TRUE,TRUE,TRUE,1,0.72
3,10,3N9nlnv8vQ.txt,4/10,TRUE,TRUE,TRUE,1,0.62
