,quote.text,annotation.code,annotation.creatingUser,annotation.creationDateTime,quote.startPosition,quote.endPosition,quote.creatingUser,quote.creationDateTime,quote.modifyingUser,quote.modifiedDateTime,document.name,document.creatingUser,document.creationDateTime,document.modifyingUser,document.modifiedDateTime,document.plainTextPath,document.richTextPath,annotation.guid,annotation.codeRef.guid,quote.guid,document.guid,quote.paragraphStartPosition,quote.paragraphEndPosition,quote.paragraphText,quote.speaker,quote.speakerIsLearner
0,2019-11-27T20:56:18.139Z Person 1: hi,"Attitude, tone, or mood > expressPositivity > greeting",Annotator_0,2024-01-05T19:05:48Z,737,774,Annotator_0,2024-01-05T19:05:48Z,Annotator_0,2024-01-05T19:05:48Z,0jVhiUnO00.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://097AC9C3-CC22-4453-8A74-E1E4C1BF502A.txt,internal://726F845F-5DE4-4AEE-B689-8EFAEC47CD28.docx,0438DAE0-5180-4A39-93C5-2744B180EBF6,47320667-5DDF-4B6A-8DDC-20BAD1851788,CC323581-0ACB-491C-9B21-04A6DE276CE9,57AD2F39-1272-474F-A9FC-73866B1BA655,737,774,2019-11-27T20:56:18.139Z Person 1: hi,1,False
1,"2019-11-27T21:26:30.650Z Person 1: looks like ""tta"" is the only 1 repeated",Explanations and help > communicationMechanism > state,Annotator_2,2024-01-03T17:01:59Z,5134,5208,Annotator_2,2024-01-03T17:01:58Z,Annotator_2,2024-01-03T17:01:58Z,0jVhiUnO00.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://097AC9C3-CC22-4453-8A74-E1E4C1BF502A.txt,internal://726F845F-5DE4-4AEE-B689-8EFAEC47CD28.docx,1093920F-4D5F-454D-B45E-6D4D6D4CB277,7C3B0402-6F4F-47B8-8360-6BCC4EB1A94D,2053F597-D386-418C-BB9D-56A6E5717033,57AD2F39-1272-474F-A9FC-73866B1BA655,5134,5208,"2019-11-27T21:26:30.650Z Person 1: looks like ""tta"" is the only 1 repeated",1,False
2,"2019-11-27T21:26:30.650Z Person 1: looks like ""tta"" is the only 1 repeated",Explanations and help > confidenceLevel > phrasedAsUnsure,Annotator_2,2024-01-03T17:01:58Z,5134,5208,Annotator_2,2024-01-03T17:01:58Z,Annotator_2,2024-01-03T17:01:58Z,0jVhiUnO00.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://097AC9C3-CC22-4453-8A74-E1E4C1BF502A.txt,internal://726F845F-5DE4-4AEE-B689-8EFAEC47CD28.docx,2AEFBFDB-3D89-449D-8D6A-EF2F9DF9F615,A64C5184-4DB7-4263-A5FF-C342F2ECD671,2053F597-D386-418C-BB9D-56A6E5717033,57AD2F39-1272-474F-A9FC-73866B1BA655,5134,5208,"2019-11-27T21:26:30.650Z Person 1: looks like ""tta"" is the only 1 repeated",1,False
3,"2019-11-27T21:26:30.650Z Person 1: looks like ""tta"" is the only 1 repeated",General message attributes > contentDomain > proposedNewCode,Annotator_2,2024-01-03T17:02:02Z,5134,5208,Annotator_2,2024-01-03T17:01:58Z,Annotator_2,2024-01-03T17:01:58Z,0jVhiUnO00.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://097AC9C3-CC22-4453-8A74-E1E4C1BF502A.txt,internal://726F845F-5DE4-4AEE-B689-8EFAEC47CD28.docx,B89D524B-3C0C-48CD-AE85-9DB45CF2EA0E,9E1FD033-5597-4ABA-9225-72AFE3B60E72,2053F597-D386-418C-BB9D-56A6E5717033,57AD2F39-1272-474F-A9FC-73866B1BA655,5134,5208,"2019-11-27T21:26:30.650Z Person 1: looks like ""tta"" is the only 1 repeated",1,False
4,2019-11-27T20:58:50.713Z Person 1: as in make the print part of the for loop?,Explanations and help > communicationMechanism > state,Annotator_1,2023-10-19T14:15:16Z,931,1008,Annotator_1,2023-10-19T14:14:51Z,Annotator_1,2023-10-19T14:14:51Z,0jVhiUnO00.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://097AC9C3-CC22-4453-8A74-E1E4C1BF502A.txt,internal://726F845F-5DE4-4AEE-B689-8EFAEC47CD28.docx,08742AE6-29B2-4D97-94F0-53B4ED2BAB9A,7C3B0402-6F4F-47B8-8360-6BCC4EB1A94D,8040ACDA-8C02-4BE9-A68A-774BAC2D2961,57AD2F39-1272-474F-A9FC-73866B1BA655,931,1008,2019-11-27T20:58:50.713Z Person 1: as in make the print part of the for loop?,1,False
5,2019-11-27T20:58:50.713Z Person 1: as in make the print part of the for loop?,Explanations and help > confidenceLevel > phrasedAsUnsure,Annotator_1,2023-11-15T19:27:21Z,931,1008,Annotator_1,2023-10-19T14:14:51Z,Annotator_1,2023-10-19T14:14:51Z,0jVhiUnO00.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://097AC9C3-CC22-4453-8A74-E1E4C1BF502A.txt,internal://726F845F-5DE4-4AEE-B689-8EFAEC47CD28.docx,9A3D4D0F-9300-4A6A-85A1-6F71DADAB9FE,A64C5184-4DB7-4263-A5FF-C342F2ECD671,8040ACDA-8C02-4BE9-A68A-774BAC2D2961,57AD2F39-1272-474F-A9FC-73866B1BA655,931,1008,2019-11-27T20:58:50.713Z Person 1: as in make the print part of the for loop?,1,False
6,2019-11-27T20:58:50.713Z Person 1: as in make the print part of the for loop?,General message attributes > contentDomain > originalCode,Annotator_1,2023-10-19T14:14:51Z,931,1008,Annotator_1,2023-10-19T14:14:51Z,Annotator_1,2023-10-19T14:14:51Z,0jVhiUnO00.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://097AC9C3-CC22-4453-8A74-E1E4C1BF502A.txt,internal://726F845F-5DE4-4AEE-B689-8EFAEC47CD28.docx,43FA310A-0172-4697-8BC2-C22E4A67E06A,EE8FDA12-3B2A-42EF-9E7B-01EAF8BD413C,8040ACDA-8C02-4BE9-A68A-774BAC2D2961,57AD2F39-1272-474F-A9FC-73866B1BA655,931,1008,2019-11-27T20:58:50.713Z Person 1: as in make the print part of the for loop?,1,False
7,2019-11-27T20:59:10.947Z Person 0: you right,Explanations and help > communicationMechanism > positiveConfirmation,Annotator_2,2024-01-03T16:50:50Z,1152,1196,Annotator_2,2024-01-03T16:50:50Z,Annotator_2,2024-01-03T16:50:50Z,0jVhiUnO00.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://097AC9C3-CC22-4453-8A74-E1E4C1BF502A.txt,internal://726F845F-5DE4-4AEE-B689-8EFAEC47CD28.docx,1F2085F5-41F0-49E5-9AD5-E79DF151513B,AE184BD2-6DF4-492B-B4FE-F7D446C30B51,3C03040F-2DA4-47D9-8A32-53E607DA4FD4,57AD2F39-1272-474F-A9FC-73866B1BA655,1152,1196,2019-11-27T20:59:10.947Z Person 0: you right,0,True
8,2019-11-27T20:59:10.947Z Person 0: you right,Explanations and help > confidenceLevel > phrasedAsCertain,Annotator_2,2024-01-03T16:50:51Z,1152,1196,Annotator_2,2024-01-03T16:50:50Z,Annotator_2,2024-01-03T16:50:50Z,0jVhiUnO00.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://097AC9C3-CC22-4453-8A74-E1E4C1BF502A.txt,internal://726F845F-5DE4-4AEE-B689-8EFAEC47CD28.docx,00D7A4ED-F034-4AB4-86A5-2A357A11566B,E35A8596-D7AB-4540-918D-BF869846C5CB,3C03040F-2DA4-47D9-8A32-53E607DA4FD4,57AD2F39-1272-474F-A9FC-73866B1BA655,1152,1196,2019-11-27T20:59:10.947Z Person 0: you right,0,True
9,2019-11-27T20:59:10.947Z Person 0: you right,General message attributes > contentDomain > proposedNewCode,Annotator_2,2024-01-03T16:50:53Z,1152,1196,Annotator_2,2024-01-03T16:50:50Z,Annotator_2,2024-01-03T16:50:50Z,0jVhiUnO00.txt,Annotator_0,2023-10-12T12:37:07Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-10-12T12:37:07Z,internal://097AC9C3-CC22-4453-8A74-E1E4C1BF502A.txt,internal://726F845F-5DE4-4AEE-B689-8EFAEC47CD28.docx,1C3B192E-E580-4DBB-BB20-6E96A72C1AEA,9E1FD033-5597-4ABA-9225-72AFE3B60E72,3C03040F-2DA4-47D9-8A32-53E607DA4FD4,57AD2F39-1272-474F-A9FC-73866B1BA655,1152,1196,2019-11-27T20:59:10.947Z Person 0: you right,0,True
