,quote.text,annotation.code,annotation.creatingUser,annotation.creationDateTime,quote.startPosition,quote.endPosition,quote.creatingUser,quote.creationDateTime,quote.modifyingUser,quote.modifiedDateTime,document.name,document.plainTextPath,document.richTextPath,annotation.guid,annotation.codeRef.guid,quote.guid,document.guid,quote.paragraphStartPosition,quote.paragraphEndPosition,quote.paragraphText,quote.speaker,quote.speakerIsLearner
0,2019-10-24T14:28:32.652Z Person 2: ok so,Explanations and help > communicationMechanism > explain,Annotator_1,2024-05-14T15:48:13Z,9080,9120,Annotator_1,2024-05-14T15:48:13Z,Annotator_1,2024-05-14T15:48:13Z,0ukelcEjyA.txt,internal://DAE923A8-0FF1-474D-9852-C9C8341A8968.txt,internal://99EBC0B9-C147-4587-9641-2FAF79E99DF1.docx,C97D9E16-6C2E-49E8-81BB-1303FF592B89,F5118719-52BC-4694-928B-6618419F596B,A8BE2DCF-487D-4AC7-9F47-B72227353198,40F884D5-42DA-4416-B782-A5FB41BF2B91,9080,9120,2019-10-24T14:28:32.652Z Person 2: ok so,2,False
1,2019-10-24T14:28:32.652Z Person 2: ok so,Explanations and help > confidenceLevel > phrasedAsCertain,Annotator_1,2024-05-14T15:48:15Z,9080,9120,Annotator_1,2024-05-14T15:48:13Z,Annotator_1,2024-05-14T15:48:13Z,0ukelcEjyA.txt,internal://DAE923A8-0FF1-474D-9852-C9C8341A8968.txt,internal://99EBC0B9-C147-4587-9641-2FAF79E99DF1.docx,CCB71F93-004A-4986-96FD-1508198C75D3,E35A8596-D7AB-4540-918D-BF869846C5CB,A8BE2DCF-487D-4AC7-9F47-B72227353198,40F884D5-42DA-4416-B782-A5FB41BF2B91,9080,9120,2019-10-24T14:28:32.652Z Person 2: ok so,2,False
2,2019-10-24T14:28:32.652Z Person 2: ok so,General message attributes > contentDomain > bug,Annotator_1,2024-05-15T17:29:08Z,9080,9120,Annotator_1,2024-05-14T15:48:13Z,Annotator_1,2024-05-14T15:48:13Z,0ukelcEjyA.txt,internal://DAE923A8-0FF1-474D-9852-C9C8341A8968.txt,internal://99EBC0B9-C147-4587-9641-2FAF79E99DF1.docx,0A01D232-B257-4C6C-B362-CFEE971E81AE,F338EC25-DCC3-47BE-969C-14DE2ABF384C,A8BE2DCF-487D-4AC7-9F47-B72227353198,40F884D5-42DA-4416-B782-A5FB41BF2B91,9080,9120,2019-10-24T14:28:32.652Z Person 2: ok so,2,False
3,2019-10-24T14:28:32.652Z Person 2: ok so,Questions > specificity > detailed,Annotator_1,2024-05-14T15:48:17Z,9080,9120,Annotator_1,2024-05-14T15:48:13Z,Annotator_1,2024-05-14T15:48:13Z,0ukelcEjyA.txt,internal://DAE923A8-0FF1-474D-9852-C9C8341A8968.txt,internal://99EBC0B9-C147-4587-9641-2FAF79E99DF1.docx,21669E66-6D11-4272-A46F-6D551DB8D7EE,AF54E626-5DB3-4DC7-86BB-2595F87B171C,A8BE2DCF-487D-4AC7-9F47-B72227353198,40F884D5-42DA-4416-B782-A5FB41BF2B91,9080,9120,2019-10-24T14:28:32.652Z Person 2: ok so,2,False
4,2019-10-24T14:26:34.850Z Person 0: everything else is coorrect,Explanations and help > communicationMechanism > state,Annotator_2,2024-04-28T17:45:37Z,6390,6452,Annotator_2,2024-04-28T17:45:33Z,Annotator_2,2024-04-28T17:45:33Z,0ukelcEjyA.txt,internal://DAE923A8-0FF1-474D-9852-C9C8341A8968.txt,internal://99EBC0B9-C147-4587-9641-2FAF79E99DF1.docx,5507C67D-AB9B-4A50-A858-2D7F34BECAFE,7C3B0402-6F4F-47B8-8360-6BCC4EB1A94D,AEC7EAA1-73D3-4727-B20E-71B85507BC8E,40F884D5-42DA-4416-B782-A5FB41BF2B91,6390,6452,2019-10-24T14:26:34.850Z Person 0: everything else is coorrect,0,True
5,2019-10-24T14:26:34.850Z Person 0: everything else is coorrect,Explanations and help > confidenceLevel > phrasedAsCertain,Annotator_2,2024-04-28T17:45:35Z,6390,6452,Annotator_2,2024-04-28T17:45:33Z,Annotator_2,2024-04-28T17:45:33Z,0ukelcEjyA.txt,internal://DAE923A8-0FF1-474D-9852-C9C8341A8968.txt,internal://99EBC0B9-C147-4587-9641-2FAF79E99DF1.docx,75BE75A8-15A0-4871-A360-04AD61AE69A3,E35A8596-D7AB-4540-918D-BF869846C5CB,AEC7EAA1-73D3-4727-B20E-71B85507BC8E,40F884D5-42DA-4416-B782-A5FB41BF2B91,6390,6452,2019-10-24T14:26:34.850Z Person 0: everything else is coorrect,0,True
6,2019-10-24T14:26:34.850Z Person 0: everything else is coorrect,General message attributes > contentDomain > originalCode,Annotator_2,2024-04-28T17:45:33Z,6390,6452,Annotator_2,2024-04-28T17:45:33Z,Annotator_2,2024-04-28T17:45:33Z,0ukelcEjyA.txt,internal://DAE923A8-0FF1-474D-9852-C9C8341A8968.txt,internal://99EBC0B9-C147-4587-9641-2FAF79E99DF1.docx,88383A7E-3EF6-42D0-A3DD-AEEC8CBF5270,EE8FDA12-3B2A-42EF-9E7B-01EAF8BD413C,AEC7EAA1-73D3-4727-B20E-71B85507BC8E,40F884D5-42DA-4416-B782-A5FB41BF2B91,6390,6452,2019-10-24T14:26:34.850Z Person 0: everything else is coorrect,0,True
7,2019-10-24T14:26:11.909Z Person 0: I have an issue,Big picture of an interaction > request > bugFix,Annotator_1,2024-05-14T15:49:34Z,4566,4616,Annotator_1,2024-05-14T15:49:34Z,Annotator_1,2024-05-14T15:49:34Z,0ukelcEjyA.txt,internal://DAE923A8-0FF1-474D-9852-C9C8341A8968.txt,internal://99EBC0B9-C147-4587-9641-2FAF79E99DF1.docx,DBB752FA-9261-4D98-93E7-712661CDD080,11E0D7E1-25AB-4FCA-89E9-0D9DEC42FDAB,A2949220-B5FA-4DD4-ABAE-1AF2A295BDDA,40F884D5-42DA-4416-B782-A5FB41BF2B91,4566,4616,2019-10-24T14:26:11.909Z Person 0: I have an issue,0,True
8,2019-10-24T14:28:32.959Z Person 0: hey,"Attitude, tone, or mood > expressPositivity > greeting",Annotator_1,2024-05-14T15:48:06Z,9121,9159,Annotator_1,2024-05-14T15:48:06Z,Annotator_1,2024-05-14T15:48:06Z,0ukelcEjyA.txt,internal://DAE923A8-0FF1-474D-9852-C9C8341A8968.txt,internal://99EBC0B9-C147-4587-9641-2FAF79E99DF1.docx,C96DB81D-F94E-4FED-969C-6B403E8414E0,47320667-5DDF-4B6A-8DDC-20BAD1851788,2CBA639A-7547-4DAA-8FF7-8212B9706B2B,40F884D5-42DA-4416-B782-A5FB41BF2B91,9121,9159,2019-10-24T14:28:32.959Z Person 0: hey,0,True
9,"2019-10-24T14:26:48.713Z Person 0: yes
2019-10-24T14:26:53.837Z Person 0: it has to be recursive",Explanations and help > communicationMechanism > positiveConfirmation,Annotator_2,2024-04-28T17:45:43Z,6857,6953,Annotator_2,2024-04-28T17:45:43Z,Annotator_2,2024-04-28T17:45:43Z,0ukelcEjyA.txt,internal://DAE923A8-0FF1-474D-9852-C9C8341A8968.txt,internal://99EBC0B9-C147-4587-9641-2FAF79E99DF1.docx,509C8EA9-86B5-4BA1-A704-3470DC9A7DDA,AE184BD2-6DF4-492B-B4FE-F7D446C30B51,FDDE9BAB-A880-46CC-8BE7-C52A2B82581B,40F884D5-42DA-4416-B782-A5FB41BF2B91,6857,6953,"2019-10-24T14:26:48.713Z Person 0: yes
2019-10-24T14:26:53.837Z Person 0: it has to be recursive",0,True
